utc_timestamp,DE_LU_price_day_ahead,Is_price_negative,was_negative_1h_ago,wind_expected,solar_expected,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,hour,weekday,month,hour_sin,hour_cos,residual_load,is_holiday,is_winter,is_summer,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_12h,price_lag_24h,price_lag_48h,price_lag_72h,price_lag_168h,price_lag_336h,price_roll_mean_6h,price_roll_mean_12h,price_roll_mean_24h,price_roll_std_6h,price_roll_std_24h,price_delta_1h,load_lag_24h,DE_load_forecast_entsoe_transparency
2019-07-15 00:00:00+00:00,36.45,0,0.0,5037.8341,0.0,12.654,0.0,0.0,0,0,7,0.0,1.0,35282.0,0,0,1,36.58,37.8,39.11,32.14,33.77,36.87,37.43,29.55,25.04,38.785000000000004,37.38166666666667,35.87166666666666,2.6763613358419183,3.1075205643720984,-0.12999999999999545,36214.0,39949.0
2019-07-15 01:00:00+00:00,35.16,0,0.0,5309.7486,0.0,12.304,0.0,0.0,1,0,7,0.25881904510252074,0.9659258262890683,35206.0,0,0,1,36.45,36.58,37.8,32.04,32.69,36.12,37.33,30.47,24.94,38.13666666666668,37.641666666666666,35.974583333333335,3.0450922262972604,3.0376835842456265,-1.2900000000000063,35986.0,40139.0
2019-07-15 02:00:00+00:00,34.93,0,0.0,5621.2143,0.0,11.964,2.99424827846e-05,0.00117005751722,2,0,7,0.49999999999999994,0.8660254037844387,36156.0,0,0,1,35.16,36.45,36.58,32.17,32.15,37.02,37.68,30.04,26.04,36.671666666666674,37.87166666666666,36.09041666666666,1.587115832778295,2.9368327796091003,-0.22999999999999687,35530.0,41394.0
2019-07-15 03:00:00+00:00,36.84,0,0.0,5616.2704,104.4099,11.765,0.392874298895,7.2585257011,3,0,7,0.7071067811865475,0.7071067811865476,39648.0,0,0,1,34.93,35.16,36.45,34.94,32.14,35.36,37.83,30.1,27.14,36.293333333333344,38.029999999999994,36.28625,1.0787709055473367,2.8161827579386434,1.9100000000000037,35670.0,44961.0
2019-07-15 04:00:00+00:00,44.91,0,0.0,5591.5509,1014.2676000000001,12.451,10.6135350999,56.4801649001,4,0,7,0.8660254037844386,0.5000000000000001,46808.0,0,0,1,36.84,34.93,35.16,37.84,32.29,36.1,48.39,34.9,41.93,37.47833333333334,38.619166666666665,36.812083333333334,3.7247894795083116,3.1908387600718564,8.069999999999993,36817.0,52986.0
2019-07-15 05:00:00+00:00,50.02,0,0.0,5304.804700000001,3172.0721999999996,13.634,39.6662495509,123.250150449,5,0,7,0.9659258262890683,0.25881904510252074,50849.0,0,0,1,44.91,36.84,34.93,38.97,33.92,37.78,53.91,39.06,53.1,39.71833333333334,39.54,37.48291666666666,6.257013398312052,4.114966827664114,5.1100000000000065,38359.0,58847.0
2019-07-15 06:00:00+00:00,50.06,0,0.0,5443.2339,6418.7229,14.978,95.663702001,182.546197999,6,0,7,1.0,6.123233995736766e-17,50595.0,0,0,1,50.02,44.91,36.84,39.91,35.46,38.46,58.4,39.99,52.85,41.98666666666668,40.38583333333333,38.09125,7.226992920064146,4.821451443472267,0.03999999999999915,41634.0,61933.0
2019-07-15 07:00:00+00:00,47.94,0,0.0,5967.2873,9963.6876,16.236,165.882053198,226.039546802,7,0,7,0.9659258262890683,-0.25881904510252063,47950.0,0,0,1,50.06,50.02,44.91,39.05,36.92,39.83,56.77,38.59,41.13,44.116666666666674,41.126666666666665,38.55041666666666,6.674796376419133,5.213832337633098,-2.1200000000000045,44666.0,63344.0
2019-07-15 08:00:00+00:00,46.2,0,0.0,6654.4893999999995,12723.092100000002,17.527,298.831165025,234.610634975,8,0,7,0.8660254037844388,-0.4999999999999998,46554.0,0,0,1,47.94,50.06,50.02,43.72,37.0,39.82,52.4,37.29,37.57,45.99500000000001,41.333333333333336,38.933749999999996,4.930337716626718,5.428662908882949,-1.7399999999999949,47172.0,65378.0
2019-07-15 09:00:00+00:00,45.3,0,0.0,7232.925700000001,14547.779400000001,18.721,470.913554106,205.427645894,9,0,7,0.7071067811865476,-0.7071067811865475,45634.0,0,0,1,46.2,47.94,50.06,39.11,37.16,39.0,50.97,39.94,32.85,47.40500000000001,41.84916666666667,39.27291666666667,2.292664388869953,5.565580933128956,-0.9000000000000057,49186.0,66852.0
2019-07-15 10:00:00+00:00,44.0,0,0.0,7875.6327,15457.6371,19.775,603.578957422,174.487542578,10,0,7,0.49999999999999994,-0.8660254037844387,43901.0,0,0,1,45.3,46.2,47.94,37.8,36.43,37.87,44.54,38.68,29.46,47.25333333333335,42.365833333333335,39.58833333333333,2.510479369893139,5.61177462954219,-1.2999999999999972,48663.0,66665.0
2019-07-15 11:00:00+00:00,41.0,0,0.0,8874.3005,16089.0684,20.629,653.362555284,159.897444716,11,0,7,0.258819045102521,-0.9659258262890682,41609.0,0,0,1,44.0,45.3,46.2,36.58,34.04,34.7,41.73,35.09,27.39,45.75000000000001,42.73416666666666,39.87833333333333,3.1433167196437424,5.491126174719178,-3.0,47032.0,66014.0
2019-07-15 12:00:00+00:00,38.56,0,0.0,9863.0805,16248.169199999998,21.22,651.163977758,148.463322242,12,0,7,1.2246467991473532e-16,-1.0,39255.0,0,0,1,41.0,44.0,45.3,36.45,32.14,33.94,40.73,33.48,27.25,43.83333333333334,42.910000000000004,40.145833333333336,3.477945753840609,5.248791096150956,-2.4399999999999977,45627.0,64808.0
